Fecha,Confirmados,Activos,Recuperados,Fallecidos
28/01/2021,158336,9689,143065,5582
29/01/2021,159118,9629,143871,5618
30/01/2021,159504,9266,144595,5643
31/01/2021,159632,8794,145165,5673
01/02/2021,160299,8571,146019,5709
02/02/2021,160966,8515,146715,5736
03/02/2021,161665,8394,147486,5785
04/02/2021,162295,8346,148133,5816
05/02/2021,162937,8166,148917,5854
06/02/2021,163137,7911,149342,5884
07/02/2021,163247,7580,149745,5922
08/02/2021,163993,7494,150544,5955
09/02/2021,164746,7438,151319,5989
10/02/2021,165532,7299,152210,6023
11/02/2021,166283,7306,152920,6057
12/02/2021,167071,7363,153614,6094
13/02/2021,167279,7025,154130,6124
14/02/2021,167383,6787,154446,6150
15/02/2021,168103,6734,155211,6158
16/02/2021,168880,6796,155920,6164
17/02/2021,169610,6807,156617,6186
18/02/2021,170275,6857,157198,6220
19/02/2021,170931,6888,157794,6249
20/02/2021,171170,6687,158201,6282
21/02/2021,171289,6482,158501,6306
22/02/2021,172072,6551,159206,6315
23/02/2021,172764,6582,159855,6327
24/02/2021,173142,6761,160047,6334
25/02/2021,173814,6890,160576,6348
26/02/2021,174335,6832,161129,6374
27/02/2021,174542,6638,161511,6393
28/02/2021,174653,6435,161816,6402
01/03/2021,175411,6601,162398,6412
02/03/2021,176250,6814,163009,6427
03/03/2021,176876,6897,163544,6435
04/03/2021,177716,7194,164067,6455
05/03/2021,178337,7306,164564,6467
06/03/2021,178560,7147,164940,6473
07/03/2021,178770,6976,165315,6479
08/03/2021,179563,7173,165897,6493
09/03/2021,180393,7461,166410,6522
10/03/2021,181143,7689,166923,6531
11/03/2021,181974,8003,167425,6546
12/03/2021,182679,8213,167895,6571
13/03/2021,182881,7972,168338,6571
14/03/2021,183014,7809,168627,6578
15/03/2021,183985,8237,169149,6599
16/03/2021,184934,8691,169624,6619
17/03/2021,185832,9134,170059,6639
18/03/2021,186740,9517,170560,6663
19/03/2021,187659,9894,171080,6685
20/03/2021,187911,9806,171405,6700
21/03/2021,188119,9536,171873,6710
22/03/2021,189067,9716,172621,6730
23/03/2021,190208,10158,173301,6749
24/03/2021,191207,10677,173765,6765
25/03/2021,192133,11015,174343,6775
26/03/2021,193050,11276,174980,6794
27/03/2021,193377,11137,175438,6802
28/03/2021,193556,10851,175896,6809
29/03/2021,193834,10398,176613,6823
30/03/2021,194398,10323,177235,6840
31/03/2021,194756,9932,177964,6860
01/04/2021,195036,9502,178659,6875
02/04/2021,195239,8957,179398,6884
03/04/2021,195471,8592,179988,6891
04/04/2021,195680,8259,180527,6894
05/04/2021,197020,8585,181532,6903
06/04/2021,198374,9038,182408,6928
07/04/2021,199964,9878,183131,6955
08/04/2021,201295,10401,183917,6977
09/04/2021,202640,10881,184758,7001
10/04/2021,203071,10506,185549,7016
11/04/2021,203309,10162,186127,7020
12/04/2021,205322,11213,187052,7057
13/04/2021,207127,12144,187894,7089
14/04/2021,208694,12879,188695,7120
15/04/2021,210667,13971,189536,7160
16/04/2021,212307,14729,190388,7190
17/04/2021,212734,14569,190944,7221
18/04/2021,213049,14316,191492,7241
19/04/2021,214700,14902,192519,7279
20/04/2021,216329,15707,193313,7309
21/04/2021,218145,16725,194075,7345
22/04/2021,219789,17451,194964,7374
23/04/2021,221307,18110,195802,7395
24/04/2021,221698,17631,196657,7410
25/04/2021,221939,16911,197600,7428
26/04/2021,223025,16567,199005,7453
27/04/2021,224621,16902,200241,7478
28/04/2021,226247,17126,201621,7500
29/04/2021,227671,17304,202843,7524
30/04/2021,228477,16793,204141,7543
01/05/2021,228684,15761,205365,7558
02/05/2021,228871,15076,206217,7578
03/05/2021,230095,14627,207862,7606
04/05/2021,231289,14551,209096,7642
05/05/2021,232439,14393,210369,7677
06/05/2021,233696,14429,211572,7695
07/05/2021,234883,14352,212814,7717
08/05/2021,235098,13724,213641,7733
09/05/2021,235304,12967,214601,7736
10/05/2021,236266,12687,215803,7776
11/05/2021,237682,12648,217219,7815
12/05/2021,238787,12634,218321,7832
13/05/2021,240170,12869,219456,7845
14/05/2021,241117,12709,220536,7872
15/05/2021,241369,12184,221298,7887
16/05/2021,241528,11586,222049,7893
17/05/2021,242784,11627,223244,7913
18/05/2021,243833,11720,224185,7928
19/05/2021,245247,12085,225210,7952
20/05/2021,246156,12165,226014,7977
21/05/2021,247106,12291,226819,7996
22/05/2021,247454,11854,227600,8000
23/05/2021,247644,11466,228169,8009
24/05/2021,248824,11676,229126,8022
25/05/2021,250296,12219,230019,8058
26/05/2021,251336,12384,230882,8070
27/05/2021,252929,13241,231594,8094
28/05/2021,253837,13357,232359,8121
29/05/2021,254225,13086,233002,8137
30/05/2021,254417,12657,233595,8165
31/05/2021,255833,12875,234775,8183
01/06/2021,257167,13312,235641,8214
02/06/2021,258633,13926,236469,8238
03/06/2021,259954,14298,237398,8258
04/06/2021,261392,14768,238344,8280
05/06/2021,261958,14488,239176,8294
06/06/2021,262255,14146,239804,8305
07/06/2021,263836,14544,240961,8331
08/06/2021,265662,15268,242033,8361
09/06/2021,267447,15868,243191,8388
10/06/2021,269308,16839,244416,8416
11/06/2021,271131,17445,245610,8439
12/06/2021,271703,16822,246426,8455
13/06/2021,271990,16756,247134,8465
14/06/2021,273730,17279,248316,8500
15/06/2021,275202,17480,249560,8527
16/06/2021,276927,17972,250772,8549
17/06/2021,278409,17977,251837,8595
18/06/2021,279947,18307,252995,8645
19/06/2021,280507,17873,253940,8694
20/06/2021,280854,17419,254700,8735
21/06/2021,282713,17932,255996,8785
22/06/2021,284741,18499,257397,8845
23/06/2021,286708,19168,258646,8894
24/06/2021,288981,20171,259850,8960
25/06/2021,290852,20711,261133,9008
